timestamp,symbol,price
1659294991243,DXC,33634.20
1659381391297,DXC,33774.30
1659467791297,DXC,33850.00
1659554191297,DXC,32958.30
1659640591299,DXC,31248.70
1659726991202,DXC,31301.90
1659813391202,DXC,32582.10
1659899791202,DXC,32460.40
1659986191203,DXC,32675.20
1660072591204,DXC,33153.00
1660158991205,DXC,33215.20
1660245391205,DXC,33410.20
1660331791206,DXC,32525.80
1660418191207,DXC,30785.60
1660504591207,DXC,31209.90
1660590991207,DXC,30825.10
1660677391208,DXC,30586.00
1660763791208,DXC,30250.00
1660850191208,DXC,19330.90
1660936591209,DXC,19963.20
1661022991210,DXC,20847.40
1661109391210,DXC,21587.50
1661195791216,DXC,21611.20
1661282191217,DXC,21637.80
1661368591225,DXC,20561.10
1661454991226,DXC,20200.60
1661541391226,DXC,20215.80
1661627791226,DXC,19309.90
1661714191226,DXC,19243.20
1661800591227,DXC,19262.90
